1.807000000000000028e+01,1.478000000000000114e+02,2.600000000000000089e-01
4.950000000000000178e+00,2.529999999999999805e+00,4.499999999999999877e-04
8.029999999999999361e+00,4.750000000000000000e+00,9.300000000000000541e-04
1.190000000000000036e+01,8.470000000000000639e+00,1.369999999999999907e-03
1.501999999999999957e+01,1.350999999999999979e+01,2.309999999999999987e-03
1.708999999999999986e+01,2.196000000000000085e+01,1.299999999999999940e-02
1.850000000000000000e+01,2.315999999999999943e+02,6.740000000000000213e+00
1.900000000000000000e+01,3.321000000000000227e+02,3.099999999999999978e-01
1.950000000000000000e+01,4.016999999999999886e+02,5.210000000000000187e-01
2.000000000000000000e+01,4.738000000000000114e+02,1.094999999999999973e+00
2.053999999999999915e+01,5.868999999999999773e+02,1.344000000000000083e+00
2.150000000000000000e+01,6.646000000000000227e+02,1.133999999999999897e+00
2.200000000000000000e+01,7.757999999999999545e+02,2.185000000000000053e+00
2.298999999999999844e+01,8.888999999999999773e+02,1.256000000000000005e+00
2.403999999999999915e+01,1.001000000000000000e+03,5.089000000000000412e+00
2.503000000000000114e+01,1.111000000000000000e+03,4.899999999999999911e-01
2.607999999999999829e+01,1.179000000000000000e+03,1.064999999999999947e+00
2.703000000000000114e+01,1.200000000000000000e+03,4.079999999999999738e-01
