[s],CH1[V]
-1.3396E-04,-5.05736E-02
-1.3394E-04,-4.95736E-02
-1.3392E-04,-4.87736E-02
-1.3390E-04,-4.75736E-02
-1.3388E-04,-4.59736E-02
-1.3386E-04,-4.43736E-02
-1.3384E-04,-4.21736E-02
-1.3382E-04,-4.05736E-02
-1.3380E-04,-3.79736E-02
-1.3378E-04,-3.47736E-02
-1.3376E-04,-3.23736E-02
-1.3374E-04,-2.93736E-02
-1.3372E-04,-2.57736E-02
-1.3370E-04,-2.21736E-02
-1.3368E-04,-1.89736E-02
-1.3366E-04,-1.57736E-02
-1.3364E-04,-1.11736E-02
-1.3362E-04,-7.97363E-03
-1.3360E-04,-4.17363E-03
-1.3358E-04,2.63692E-05
-1.3356E-04,4.02637E-03
-1.3354E-04,7.62637E-03
-1.3352E-04,1.14264E-02
-1.3350E-04,1.50264E-02
-1.3348E-04,1.86264E-02
-1.3346E-04,2.20264E-02
-1.3344E-04,2.54264E-02
-1.3342E-04,2.82264E-02
-1.3340E-04,3.22264E-02
-1.3338E-04,3.44264E-02
-1.3336E-04,3.72264E-02
-1.3334E-04,3.92264E-02
-1.3332E-04,4.10264E-02
-1.3330E-04,4.32264E-02
-1.3328E-04,4.42264E-02
-1.3326E-04,4.58264E-02
-1.3324E-04,4.66264E-02
-1.3322E-04,4.78264E-02
-1.3320E-04,4.78264E-02
-1.3318E-04,4.82264E-02
-1.3316E-04,4.80264E-02
-1.3314E-04,4.70264E-02
-1.3312E-04,4.64264E-02
-1.3310E-04,4.52264E-02
-1.3308E-04,4.38264E-02
-1.3306E-04,4.22264E-02
-1.3304E-04,4.06264E-02
-1.3302E-04,3.80264E-02
-1.3300E-04,3.56264E-02
-1.3298E-04,3.30264E-02
-1.3296E-04,3.02264E-02
-1.3294E-04,2.74264E-02
-1.3292E-04,2.34264E-02
-1.3290E-04,2.06264E-02
-1.3288E-04,1.68264E-02
-1.3286E-04,1.30264E-02
-1.3284E-04,9.62637E-03
-1.3282E-04,5.62637E-03
-1.3280E-04,1.62637E-03
-1.3278E-04,-1.77363E-03
-1.3276E-04,-6.17363E-03
-1.3274E-04,-9.97363E-03
-1.3272E-04,-1.35736E-02
-1.3270E-04,-1.73736E-02
-1.3268E-04,-2.11736E-02
-1.3266E-04,-2.39736E-02
-1.3264E-04,-2.77736E-02
-1.3262E-04,-3.11736E-02
-1.3260E-04,-3.37736E-02
-1.3258E-04,-3.63736E-02
-1.3256E-04,-3.97736E-02
-1.3254E-04,-4.15736E-02
-1.3252E-04,-4.37736E-02
-1.3250E-04,-4.51736E-02
-1.3248E-04,-4.71736E-02
-1.3246E-04,-4.89736E-02
-1.3244E-04,-4.93736E-02
-1.3242E-04,-4.97736E-02
-1.3240E-04,-5.03736E-02
-1.3238E-04,-5.03736E-02
-1.3236E-04,-4.95736E-02
-1.3234E-04,-4.95736E-02
-1.3232E-04,-4.89736E-02
-1.3230E-04,-4.77736E-02
-1.3228E-04,-4.61736E-02
-1.3226E-04,-4.45736E-02
-1.3224E-04,-4.21736E-02
-1.3222E-04,-4.05736E-02
-1.3220E-04,-3.75736E-02
-1.3218E-04,-3.55736E-02
-1.3216E-04,-3.23736E-02
-1.3214E-04,-2.93736E-02
-1.3212E-04,-2.61736E-02
-1.3210E-04,-2.23736E-02
-1.3208E-04,-1.81736E-02
-1.3206E-04,-1.49736E-02
-1.3204E-04,-1.17736E-02
-1.3202E-04,-8.37363E-03
-1.3200E-04,-3.77363E-03
-1.3198E-04,2.63692E-05
-1.3196E-04,4.02637E-03
-1.3194E-04,7.42637E-03
-1.3192E-04,1.12264E-02
-1.3190E-04,1.52264E-02
-1.3188E-04,1.88264E-02
-1.3186E-04,2.18264E-02
-1.3184E-04,2.52264E-02
-1.3182E-04,2.82264E-02
-1.3180E-04,3.18264E-02
-1.3178E-04,3.48264E-02
