[Hz],FFT[dBm]
0.00000000E+00,-4.68654E+01
2.44140625E+03,-4.98454E+01
4.88281250E+03,-1.06245E+02
7.32421875E+03,-9.79254E+01
9.76562500E+03,-1.02565E+02
1.22070312E+04,-9.46854E+01
1.46484375E+04,-9.29254E+01
1.70898438E+04,-9.25854E+01
1.95312500E+04,-9.36654E+01
2.19726562E+04,-9.81254E+01
2.44140625E+04,-9.79454E+01
2.68554688E+04,-1.00225E+02
2.92968750E+04,-9.95254E+01
3.17382812E+04,-9.35054E+01
3.41796875E+04,-9.26854E+01
3.66210938E+04,-1.02825E+02
3.90625000E+04,-9.55454E+01
4.15039062E+04,-9.85654E+01
4.39453125E+04,-9.50254E+01
4.63867188E+04,-9.64254E+01
4.88281250E+04,-9.42854E+01
5.12695312E+04,-1.09205E+02
5.37109375E+04,-9.48054E+01
5.61523438E+04,-9.38054E+01
5.85937500E+04,-9.12254E+01
6.10351562E+04,-8.43454E+01
6.34765625E+04,-8.57054E+01
6.59179688E+04,-9.43854E+01
6.83593750E+04,-1.01285E+02
7.08007812E+04,-1.01025E+02
7.32421875E+04,-9.69654E+01
7.56835938E+04,-1.04265E+02
7.81250000E+04,-1.00665E+02
8.05664062E+04,-1.08585E+02
8.30078125E+04,-1.08605E+02
8.54492188E+04,-1.01765E+02
8.78906250E+04,-1.25585E+02
9.03320312E+04,-1.00505E+02
9.27734375E+04,-1.01765E+02
9.52148438E+04,-9.99654E+01
9.76562500E+04,-9.49054E+01
1.00097656E+05,-1.14425E+02
1.02539062E+05,-9.22254E+01
1.04980469E+05,-1.00485E+02
1.07421875E+05,-9.61054E+01
1.09863281E+05,-9.29054E+01
1.12304688E+05,-9.61654E+01
1.14746094E+05,-9.25054E+01
1.17187500E+05,-9.28254E+01
1.19628906E+05,-1.01965E+02
1.22070312E+05,-9.89054E+01
1.24511719E+05,-9.54654E+01
1.26953125E+05,-1.02865E+02
1.29394531E+05,-1.00985E+02
1.31835938E+05,-9.46454E+01
1.34277344E+05,-9.20454E+01
1.36718750E+05,-9.65654E+01
1.39160156E+05,-1.05185E+02
1.41601562E+05,-1.00245E+02
1.44042969E+05,-1.02865E+02
1.46484375E+05,-1.06725E+02
1.48925781E+05,-9.78254E+01
1.51367188E+05,-9.49654E+01
1.53808594E+05,-1.06265E+02
1.56250000E+05,-9.35854E+01
1.58691406E+05,-9.40054E+01
1.61132812E+05,-1.02165E+02
1.63574219E+05,-1.01825E+02
1.66015625E+05,-9.54854E+01
1.68457031E+05,-9.63854E+01
1.70898438E+05,-9.83254E+01
1.73339844E+05,-1.01685E+02
1.75781250E+05,-9.71454E+01
1.78222656E+05,-9.19054E+01
1.80664062E+05,-8.92854E+01
1.83105469E+05,-9.46254E+01
1.85546875E+05,-8.23254E+01
1.87988281E+05,-8.31654E+01
1.90429688E+05,-9.73654E+01
1.92871094E+05,-9.94054E+01
1.95312500E+05,-9.40454E+01
1.97753906E+05,-9.06854E+01
2.00195312E+05,-9.45054E+01
2.02636719E+05,-1.02045E+02
2.05078125E+05,-1.06745E+02
2.07519531E+05,-9.72654E+01
2.09960938E+05,-1.03705E+02
2.12402344E+05,-1.08225E+02
2.14843750E+05,-9.93254E+01
2.17285156E+05,-9.50654E+01
2.19726562E+05,-9.83254E+01
2.22167969E+05,-1.04185E+02
2.24609375E+05,-1.06905E+02
2.27050781E+05,-9.93054E+01
2.29492188E+05,-9.95854E+01
2.31933594E+05,-1.00245E+02
2.34375000E+05,-1.02445E+02
2.36816406E+05,-9.47654E+01
2.39257812E+05,-9.05654E+01
2.41699219E+05,-9.74054E+01
